Typical Activity	Reaction	Abilities	For	Against	Categories	Qualities	so	and	but
seducing young women	distrust, denounce, dislike, despise, criticize	seduce, enchant, hypnotise, hypnotize, infatuate, deflower, lead astray, entice	seduction, young women, girls, libido, lust	old women	sugar daddy, seducer, lounge lizard, charmer, satyr, pickup artist, pick-up artist	charming, persuasive, charismatic, libidinous 		share_stories_with, confide_in	compete_with, spread_lies_about, brief_against, condescend_to
seeking revenge	defend, support, forgive	seek revenge, strike back, hit back, get revenge	revenge porn, revenge, vengeance, vigilantism, vigilantes, justice, retribution	forgiveness, absolution, injustice	revenger, avenger, vigilante, nemesis	vengeful, bitter, driven, obsessive, obsessed, bloodthirsty, vindictive	conspire_with, collude_with	search_for, chase_after	grow_suspicious_of, harden_toward
selling airline seats	praise	allocate, seat, transport	airline seats, online bookings, business class, elasticity of demand, airlines, air travel	economy class	businessman, business person, tycoon, mogul, CEO, billionaire, capitalist, big business, airline CEO, airline magnate	cost-cutting, thrifty, cost-conscious, price-conscious, competitive	compete_against	brief_against, sell_via, sell_through	are_undermined_by
selling cheap airline seats	admire, respect	allocate, seat, transport	airline seats, online bookings, economy class, elasticity of demand, airlines, air travel, cheap seats	airport taxes, fuel surcharges	businessman, business person, tycoon, mogul, CEO, billionaire, capitalist, big business, airline CEO, airline magnate	cost-cutting, thrifty, cost-conscious, price-conscious, competitive	compete_against	brief_against, sell_via, sell_through	are_undermined_by
selling chrystal meth	forgive, denounce, condemn, despise, hate	addict, sell, sell drugs, push drugs	chrystal meth, amphetamines, meth heads, 	DEA, federal agents	drug dealer, drug lord, drug baron, druglord, drug chemist, drug boss, drug pusher, pill pusher	immoral, entrepreneurial, scientific, exploitative, ruthless	cook_for, conspire_with, collude_with	abet	are_betrayed_by, betray, 
selling comic books	laugh_at	sell	comic books, comic con, graphic novels, Marvel comics, DC comics, Marvel universe, DC universe, superheroes	real books, literature	nerd, geek, comic book guy, comicbook guy	nerdy, geeky, patronising, patronizing,	sell_to, sell_via, sell_through		compete_against
selling confectionary	trust 	sell, sweeten, sell candy	confectionary, chocolate, cakes, candy, donuts, sweets, sugar, glucose, bonbons	diabetes, cavities, 	confectioner, chocolatier, candyman, candy man, chocolate maker	sweet, sugary, tempting	sell_to, sell_via, sell_through		compete_against
selling consumer goods	praise, trust	sell, retail	consumer goods, consumerism		retailer, salesperson, salesman, pusher, merchant, vendor, consumerist	commercial, capitalistic	sell_to, sell_via, sell_through		compete_against
selling cosmetics	praise, trust	sell, beautify, enhance	cosmetics, skin creams, skin lotions, lipsticks, lip gloss, mascara, makeovers, make overs	acne, skin conditions, wrinkles, liver spots	cosmetics vendor, cosmetician, beautician	shallow	sell_to, sell_via, sell_through	beautify	compete_against
selling dodgy goods	criticize, resent, distrust	mislead, lead on	shoddy merchandise, dodgy goods, bait and switch	reliability, warranties, consumer rights, consumer protection	schlock merchant, snake oil salesman, snakeoil salesman, bullshit artist	shrewd, manipulative, dodgy, unreliable, sneaky	sell_to, sell_via, sell_through		are_sued_by, compete_against
selling fast food	distrust	cook, cook for	fast food, drive ins, franchising, franchises, 	slow food, haute cuisine, home cooking	fastfood vendor fast food vendor, purvayor of fast food	greasy, cheap	sell_to, sell_via, sell_through	cook_for	compete_against
selling franchises	distrust	recruit, do business	franchises, franchising, fast food		franchiser, empire builder, entrepreneur	entrepreneurial, growth-oriented	sell_to, sell_via, sell_through		compete_against
selling fried chicken	distrust	cook, cook for	KFC, southern-fried chicken, fried chicken, fast food, fried food, grease, 	salads	fastfood vendor fast food vendor, purvayor of fast food, fry cook	greasy	sell_to, sell_via, sell_through	cook_for	compete_against
selling illegal alcohol	distrust, resent, dislike	sell, intoxicate, bootleg	illegal alcohol, moonshine, moonshiners, rumrunners, bootleg whisky, bootleg whiskey,  bootleg liquor , whisky stills, whiskey stills		bootlegger, boot legger, rumrunner, rum runner	opportunistic, entrepreneurial,	sell_to, sell_via, sell_through	drink_with	compete_against
selling kitsch	dislike, mock, laugh_at	sell, sell out	kitsch, chintz, schlock, collectibles, memorabilia	good taste, tastefulness	schlock merchant, kitsch merchant	kitschy, tacky, chintzy	sell_to, sell_via, sell_through		compete_against
selling military secrets	hate, despise, condemn, denounce	commit treason	military secrets, secret plans, dead drops, microfilm, microdots , treason, 		spy, military spy, 	clandestine, secretive, 	sell_to, sell_via, sell_through	abet	spy_on, leak_to
selling modern art	respect, admire	sell, broker	modern art, art galleries, art auctions, auction houses		art salesman, art vendor, art dealer	pretentious	sell_to, sell_via, sell_through		
selling out	hate, despise, condemn, denounce, disagree_with,	sell out, sellout	money, capitalism, art collectors, art dealers, 	art	sell out, capitalist,	soulless, money-hungry, money-mad, capitalistic	are_corrupted_by		copy, imitate, are_denounced_by
selling perfumes	trust	perfume, beautify	perfumes, fragrances, perfumers, perfumiers, colognes, aftershave, pheromones, scents, aromatherapy, aromas, 	blocked noses	perfumier, perfumer	fragrant, smelly, scented	sell_to, sell_via, sell_through		compete_against
selling self-help books	admire, defend, support	motivate, inspire, rouse, encourage	inspiration, motivation, self help, self-actualisation, self-actualization		self-help guru, self-improvement guru	preachy, inspirational, inspiring, empowering, rousing, motivational, 	sell_to, sell_via, sell_through	are_motivated_by, are_roused_by, are_energized_by	compete_against, lose_faith_in
selling stock cubes	laugh_at	sell	stock cubes, beef stock, flavorings, flavourings, food additives, 		chef, cook, celebrity chef	artless, undignified	sell_to, sell_via, sell_through	cook_for	compete_against
selling tat	laugh_at, distrust,  	sell	tat, schlock, kitsch, tackorama, dodgy goods, memorabilia		schlock merchant, kitsch merchant	kitschy, tacky, chintzy	sell_to, sell_via, sell_through		compete_against
selling tickets	praise	sell	touts, ticket sales, box office		ticket tout, tout	pushy	sell_to, sell_via, sell_through		
serving beer	praise	serve beer, sell beer	beer, ale, lager, IPA, pibs	soft drinks	barman, bar man,	boozy	drink_with		
shagging spies	admire, respect, defend	sleep with, seduce, cavort, gallivant	sex, shagging, intrigues, international cooperation, special relationships		superspy, super spy, master spy, man of mystery, international man of mystery	sexy, charming, charismatic, enigmatic, mysterious	drink_with	share_stories_with	
shocking radio listeners	defend, forgive, support, dislike	shock, disgust, outrage, scandalise, scandalize, go too far	controversy, sensationalism, vulgarity, lewdness, explicitness	censorship, political correctness	shock jock, shockjock, radio personality, radio host, radio presenter, radio presence	rude, vulgar, crass, controversial, shocking, sensationalist, boorish	interview, are_interviewed_by		are_shocked_by
shopping for shoes	laugh_at	shop, 	shoe shops, outlet malls, retail therapy		shopoholic, shopaholic, shoe fetishist	acquisitive, shallow, vapid	accompany		
shouting in Hollywood movies	laugh_at, dislike	shout, bully, yell, holler	shouting, loudmouths, raised voices, anger, rage, 		actor, movie star, loudmouth, loud mouth	loud, loudmouthed, loud-mouthed, piercing	perform_with		mimic, impersonate
arresting bootleggers	admire, respect, defend, support	arrest, 		bootleggers, bootlegging, rumrunners, rum runners, moonshine, gin stills, whisky stills, whiskey stills	treasury agent, G man, government agent, 	righteous, lawful, 		report_to, are_informed_by	are_betrayed_by, lead_astray, are_corrupted_by, are_investigated_by, are_unimpressed_by
nurturing sibling rivalry	dislike, resent, criticize	envy, compete with, compete against, argue with, squabble	sibling rivalry, siblings, jealousy, envy, family tensions, family rifts, family arguments		sibling, rival,	jealous,envious, resentful, bitter, overshadowed	compete_with	resent, harden_toward	compete_against, are_arrested_for_killing, are_overshadowed_by
singing bawdy songs	forgive, defend	sing, recite	bawdy songs, ribald songs, bawdy lyrics, ribald lyrics, dirty songs, dirty lyrics, vulgar songs, vulgarity, lewdness, bawdiness	puritans, prudes, puritanical values	bawd, singer	bawdy, lewd, vulgar, funny	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing blues songs	listen_to	sing, sing the blues	blues songs, blues music, rhythm and blues, melancholy, singing the blues	pop music, pop songs	blues singer, blues man, singer, musician, blues musician	bluesy, soulful, jazzy, smoky, sad, meancholy	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing country music	listen_to	sing	country music, grand ol opry, rockabilly, bluegrass, country songs	pop music, pop songs	country singer, country musician, cowboy	rural, twee, quaint	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing experimental songs	listen_to, defend, support	sing	experimental songs, prog rock, progressive rock, experimental music, 	cliché, cliches, formula, middke of the road	singer, experimentalist, pioneer	experimental, avant-garde, pretentious	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, experiment_on
singing goofy songs	laugh_at	sing, entertain	goofy songs, novelty songs, silly songs, fun songs, silly lyrics, parody songs, goofing around	seriousness, solemnity, heckling, hecklers	singer, entertainer	goofy, silly, funny, absurd	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing Hipbop songs	listen_to	rap, sing hipbop, sing hiphop, sing hip hop, sing	hipbop, hip hop, hiphop, rap music, rapping, 		rapper, hipbop singer, rap star, hipbop star	vulgar, crude, raw, rhythmic	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
recording pop songs	defend	record, sing pop, sing	pop songs, pop singers, pop music, recording contracts, recording music, recording studios		pop star, pop singer, pop musician, popstar, recording artist	poppy, shallow, melodic, catchy	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
crooning love songs	listen_to	croon, sing, warble	love songs, romance, romantic songs, romantic lyrics, crooning, love, sentimentality		crooner, singer, balladeer, lounge act, lounge singer	crooning, romantic, melodic	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing jazz songs	listen_to	sing jazz, sing	jazz, jazz songs, jazz singers, 		jazz singer, jazz man, jazzman, singer, musician, jazz musician	jazzy, soulful, sultry	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing melancholy songs	listen_to	sing, depress, emote]	sad songs, blues songs, blues music, singing the blues		torch singer, singer, musician, 	melancholy, sad, gloomy, depressed, depressing, depressive	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing middle-of-the-road songs	listen_to	sing, croon, warble	cliché, cliches, formula, middke of the road, pop songs, pop music, popular music, safe music, ballads		singer, entertainer, balladeer	middle of the road, unchallenging	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing multipart harmonies	listen_to	harmonise, harmonize, sing in harmony, sing in unison	multipart harmonies, multi-part harmonies, madrigals, part-songs, unison		harmonist, singer, team player	harmonious, melodic, 	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing on TV shows	listen_to	sing, sing on, sing for, sing in	popular music, safe music		TV singer, singer, TV entertainer, entertainer	entertaining	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing opera arias	listen_to, admire	sing opera, sing, sing for, sing with	opera, arias		opera singer, soprano, tenor	high-pitched, melodic, piercing	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing parody songs	laugh_at	sing, amuse, make fun, parody, satirise, satirize	funny songs, parody songs, novelty songs, goofy songs, parody, 		parodist, comedian, humorist, singer, satirist	witty, satirical, humorous, funny, irreverent	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing pop songs	listen_to	sing pop, sing, groove, shimmy	pop music, pop, pop stars, pop charts, iTunes, safe music		pop star, pop singer, pop musician, popstar, recording artist	poppy, shallow, melodic, catchy	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing protest songs	admire, respect, look_up_to	protest, cry out, rebel, dissent, 	protest songs, protest singers, political songs, political protest, counter-culture	status quo, smooth jazz	campaigner, reformer, social activist, singer, musician, protester	socially-conscious, angry, rousing, motivational, inspiring, inspirational	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing punk rock songs	listen_to	shout, scream, holler, howl, sing	punk rock, punk songs, punk bands, punk lyrics, punk attitude, loud music	pop music, pop songs, safe music, middke of the road	punk rocker, punk singer, punk, singer, musician	anarchic, loud, bawdy, disrespectful, crude	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing reggae songs	listen_to	sing, sing reggae	reggae, afro-carribean music, rastafarians		reggae singer, reggae musician, rastafarian	laidback, laid-back, melodic, rhythmic	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing rock songs	listen_to	sing rock, sing, 	rockers, rock music, loud music, rock and roll, rock songs, electric guitars, power ballads		rocker, rock star, rock singer	loud, rousing, passionate, anthemic	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing romantic songs	listen_to	sing about love, croon, warble	romance, sentimentality, love songs, romantic songs	punk rock, punk music	romantic, singer, entertainer, sentimentalist	romantic, smooth, sentimental	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing the blues	listen_to	sing, sing the blues	blues songs, blues music, rhythm and blues, melancholy		blues singer, blues man, singer, musician, blues musician	bluesy, soulful, jazzy, smoky, sad, meancholy	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing to teenagers	resent, dislike	sing pop	teenyboppers, teeny boppers, teenagers, teen audiences, teen music, tweeners	punk rock, punk music	teeny bopper, teenybopper, teen sensation	shallow, teen-oriented, vapid	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
singing torch songs	listen_to, admire	sing about love, sing about loss	torch songs, melancholy, romance, love, unrequited love, lost love		torch singer, singer, musician, 	melancholy, sad, gloomy, depressed, depressing, depressive	sing_with, perform_with, perform_for	are_inspired_by	mimic, impersonate, imitate
slapping soldiers	defend, forgive	slap, punish, chastise, chastize	discipline, tough love	shell shock, PTSD, 	taskmaster, task master, hardass, hard ass, disciplinarian	tough, hard, hard as nails, demanding, 			hit, are_disciplined_by, are_reported_by
slashing victims	hate, despise, fear, condemn	slash, rip, slice, stab	serial killing, stalking, killing sprees, gore		ripper, cutter, slasher, serial killer	bloody, deadly, bloodthirsty, gory, murderous	are_corrupted_by	abet, kill_for	mimic, impersonate, imitate, copy
smiting frost giants	admire, respect, 	smite, kill, defeat, knock out, knockout,	battle, victory, conquest	 frost giants, giants	giant killer, giant slayer	bold, daring, brash, mighty, powerful	fight_with	drink_with	fight_against
smiting Philistines	admire, respect, 	smite, kill, defeat, knock out, knockout,	battle, victory, conquest	Philistines	hero, warrior, underdog	brave, plucky, righteous, victorious, rampaging	fight_with	drink_with	fight_against
blowing smoke rings	laugh_at	blow smoke, smoke	smoking, smoke rings	smoker's cough, smoking bans, nicotine gum, nicotine patches	smoker, showboat, showoff, show off, show boat	laidback, carefree	chat_with	travel_with, accompany	
smoking Boyard cigarettes	criticize	blow smoke, smoke	smoking, nicotine, cigarettes	smoker's cough, smoking bans, nicotine gum, nicotine patches	French philosopher, French intellectual, intellectual, philosopher, existentialist	philosophical, intellectual, pretentious	chat_with	drink_with	
smoking cigarettes	criticize	blow smoke, smoke	smoking, nicotine, cigarettes	smoker's cough, smoking bans, nicotine gum, nicotine patches	smoker	raspy, smoky, smokey	chat_with	drink_with	
smoking cigars	defend	blow smoke, smoke	smoking, nicotine, cigars	smoker's cough, smoking bans, nicotine gum, nicotine patches	cigar smoker	raspy, smoky, smokey	chat_with	drink_with	
smoking during recess	forgive	blow smoke, smoke	smoking, nicotine, cigarettes, delinquency, too cool for school	smoker's cough, smoking bans, nicotine gum, nicotine patches	delinquent, cool kid, badass, bad ass, tough guy, hard man	tough, delinquent, cool	chat_with	drink_with, share_stories_with	
smoking herb	forgive, defend	blow smoke, smoke, smoke weed, get high	smoking,  marijuana, cannibis	smoker's cough, smoking bans, nicotine gum, nicotine patches	pothead, pot head, hippy, hippie	laidback, laid-back, mellow, cool, relaxed	chat_with	drink_with	
smoking Laramie Hi-Tars	criticize	blow smoke, smoke	smoking, nicotine, cigarettes, high tar, smoker's cough	smoker's cough, smoking bans, nicotine gum, nicotine patches, cigarette filters	cigar smoker	raspy, smoky, smokey, bitter, scornful, resentful	chat_with	drink_with	
smoking Silk Cut cigarettes	criticize	blow smoke, smoke	smoking, nicotine, cigarettes	smoker's cough, smoking bans, nicotine gum, nicotine patches	smoker	raspy, smoky, smokey	chat_with	drink_with	
smuggling contraband	criticize, defend	smuggle, transport	smuggling, contraband, 	import duties, excise duties, tariffs	smuggler	secretive, furtive, stealthy, 	conspire_with, collude_with	abet, sell_through, sell_via, are_facilitated_by	steal_from, are_robbed_by
smuggling military plans	criticize, resent, distrust, trust	smuggle, conceal	military plans, military secrets, microfilm, microdots,		smuggler, spy, rebel scum	subversive, daring, bold, brave, rebellious, 	conspire_with, collude_with	abet, leak_to, are_facilitated_by	steal_from, are_robbed_by
solving crimes	admire, respect, trust	solve, prove, investigate, probe, figure out	evidence, clues, forensics, forensic analysis, forensic analysts, crime scenes, fingerprints, witnesses, interrogations, search warrants	crime, criminality, criminals, crooks, organised crime, organized crime, unsolved mysteries, cold cases, unsolved crimes, red herrings	detective, sleuth, gumshoe, investigator, private eye, private detective	probing, inquisitive, detail-oriented, insightful, watchful, clever	answer_questions_from	ask_questions_for, seek_advice_from	are_contradicted_by, disagree_with, fail_to_impress
solving mysteries	admire, respect, trust	solve, prove, investigate, probe, figure out, solve problems, find a solution, find solutions	evidence, clues, forensics, forensic analysis, forensic analysts, crime scenes, fingerprints, witnesses, interrogations, search warrants	unsolved mysteries, cold cases, unsolved crimes	detective, sleuth, gumshoe, investigator, private eye, private detective, armchair detective	probing, inquisitive, detail-oriented, insightful, watchful, clever	answer_questions_from	ask_questions_for	are_contradicted_by, disagree_with, fail_to_impress
solving riddles	admire, respect, trust	solve, answer, figure out, reason, solve problems, find a solution, find andwers, find solutions	riddles, word games, word puzzles, cryptic clues, cryptic crosswords, kennings		wordsmith, word smith, riddler, puzzler	clever, imaginative, smart, intelligent, 	answer_questions_from	ask_questions_for	are_challenged_by, fail_to_impress
speaking with funny accents	laugh_at	mock, mimic, imitate, impersonate	funny accents, foreign accents		actor, movie star	versatile, talented, adaptive	mimic, impersonate, imitate, copy		laugh_at, are_mocked_by
spouting movie trivia	tune_out, ignore	nerd out, geek out, spout, trivialise, trivialize	movie trivia, film facts, movie facts, movie knowledge, film geeks, movie geeks, film trivia, film buffs, cineastes, movie nerds, movie quotes, film quotes, spoliers, spolier alerts		movie nerd, movie geek, film buff	boring, tedious, informative, detail-oriented, factual		lecture_to	are_contradicted_by, disagree_with, fail_to_impress
spreading Christianity	believe_in, support	spread, evangelise, evangelize	Christianity, Christian values, evangelism, dogma, creed, religious devotion, Christ	atheism, blasphemy, agnosticism, atheists, 	Christian, evangelist, preacher, apostle, believer, true believer	Christian, devout, devoted, spiritual, religious, zealous	pray_with, worship_with	are_dispatched_by	lose_faith_in, lose_favor_with
spreading fear	dislike, resent, condemn, denounce, renounce	spread, horrify, terrorise, terrorize, terrify	fear, terror, terrorism, outrages, atrocities, fearmongers, fearmongering, paranoia, horror	comic relief, laughter,	fearmonger, fear monger, terrorist, terror, scourge, scaremonger	frightening, scary, terrifying, terrorizing, terrorising, 	sacrifice_to		are_feared_by, fear
promoting mysticism	question, laugh_at	mystify, ritualize, ritualise	mysticism, mystics, gnosticism, gnostics, secret knowledge, Kaballah, secret rituals, spiritualism, esotericism, witchcraft, seances, mystique, supernaturalism	debunkers, debunking, disbelief, rationality	mystic, gnostic, quack, crank	mystical, spiritual, mystifying, superstitious	mystify, are_mystified_by		lose_faith_in, lose_favor_with
spreading philosophy	respect, admire, support	philosophize, philosophise	philosophy, philosophers, enlightenment, dialectic, intellectualism, wisdom, 	ignorance, anti-intellectualism	philosopher	philosophical, intellectual, pretentious	read_the_works_of	study_under, learn_from, are_inspired_by, are_influenced_by, are_molded_by, debate_with	are_contradicted_by, disagree_with, fail_to_impress, are_indoctrinated_by
spreading political gossip	listen_to, distrust	gossip, smear, slander, titillate, spread	political gossip, political dirt, political secrets, scuttlebutt, political leaks, deep background, inside information	non-denial denials, nondenial denials	gossip, backstabber, back stabber, muckraker, gossipmonger, gossip monger, muck raker	gossipy, sneaky, manipulative, 	leak_to, inform, share_stories_with	are_informed_by, confide_in	spread_lies_about
spreading revolution	defend, support	revolt, dissent, rebel, instigate	revolutions, revolutionary thinking, rebellion, fomenting revolution, rabblerousing, demagoguery, 	big brother, government control	revolutionist, revolutionary, firebrand, rabblerouser, dissident	charismatic, rabblerousing, rousing, fiery, revolutionary, rebellious	look_up_to, are_inspired_by	are_radicalized_by	are_denounced_by, lose_faith_in, are_disillusioned_by
spying for the CIA	distrust, 	spy on, spy for, spy, snoop, 	black ops, espionage, dead drops, microfiim, microdots, cover stories, spycraft, tradecraft, intrusion, cloak and dagger	privacy, KGB, enemy spies	master spy, spy, field operative, CIA agent, 	clandestine, sneaky, watchful	are_recruited_by	are_trained_by, are_deployed_by	spy_on, leak_to, are_monitored_by, grow_suspicious_of, are_betrayed_by
spying for the enemy	resent, renounce, denounce, condemn, hate, despise	spy on, spy for, spy, snoop, commit treason, betray	treachery, betrayal, treason, espionage, disloyalty, cloak and dagger	mole hunters, patriotism, loyalty	double agent, spy, mole, plant, ringer, inside man, traitor	clandestine, sneaky, traitorous, treacherous, treasonous	are_recruited_by	are_trained_by, are_deployed_by	spy_on, leak_to, are_monitored_by, grow_suspicious_of, are_betrayed_by
spying on girls	criticize, mock, dislike	snoop, peek, leer	voyeurism, peeping, perversion, lurking, peepholes, peep holes	privacy, decency, chivalry	creep, voyeur, peeping tom, stalker, pervert, lurker, deviant	creepy, watchful, obsessive, obsessed, lurking, perverse, perverted	are_corrupted_by		spy_on, are_monitored_by, are_reported_by
squandering money	resent, forgive, dislike, distrust	squander, waste, spend too much	squandering, lavishness, extravagance, wastefulness	bargain bins, bargain basements, clipping coupons, thrift	big spender, money pit	spendthrift, wasteful, unwise	borrow_from	lend_to, invest_in	
stabbing in the back	resent, renounce, denounce, condemn, hate, despise	stab, betray, turn against	betrayal, disloyalty, low cunning, hypocrisy	loyalty, devotion, friendship	traitor, backstabber, back stabber, turncoat, snake, serpent, viper, hypocrite, defector	backstabbing, back-stabbing, treacherous, devious, untrustwortht	distrust	conspire_with	betray, are_betrayed_by, snitch_on, trust
standing up to bullies	admire, respect, look_up_to	stand up to, 	bravery, resilience, underdogs, courage, stiff upper lips, resolve	bullies, 	hero, champion, underdog	resolute, brave, bold, fearless, plucky	are_inspired_by	are_roused_by	stand_up_to, are_bullied_by
starring in action movies	respect	star, star in, portray	action movies, explosions, car chases, cliffhangers, guns, action, spectacle, special effects, box office, stunts, action sequences, fight scenes, fight sequences	stunt doubles	action hero, action star, action man	muscular, well-built, dynamic, iconic, tough, action-oriented	perform_with	look_up_to	upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in animated movies	respect	voice, star, star in, portray	cartoons, animation		cartoon character, animated character	two-dimensional, animated, colorful	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in comedies	laugh_at	star, star in, portray, amuse, entertain	comedy, comic relief, laughter, laughs, humour, humor, slapstick	seriousness, solemnity, 	comic actor, comedian, comedienne, funny man, comedic actor	funny, entertaining, comedic, comic, comical,	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in cowboy movies	admire, remember	star, star in, portray	cowboys, indians, horse operas, wagon trains, gunfights, saloons, gun fights, cattle rustlers, cattle rustling, gunslingers, gun slingers	revisionism	cowboy, tough guy, man's man, real man	tough, laconic, stoic, grizzled, iconic	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in daytime soap operas	condescend_to, question, dislike	star, star in, portray	make believe, soap, melodrama, amnesia, evil twins, ham acting	production values	soap star, soap actor, ham actor	soapy, shallow, wooden	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in Hollywood movies	admire, dislike	star, star in, portray	make believe, Hollywood, dream factories, walk of fame, studio systems, box office	cliché, cliches, formula, 	Hollywood star, Hollywood actor, movie star, matinee idol, star, idol, cinema icon	famous, celebrated, popular, icon	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in indy movies	admire, respect	star, star in, portray	independence, quirkiness, offbeat movies, offbeat films, plot, dialogue, good acting, soul searching, indy movies, quirky dialogue	spectacle, special effects, explosions, box office	actor, independent actor	quirky, eccentric, edgy	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in kung-fu movies	admire, respect	star, star in, portray	kung fu, action sequences, fight scenes, fight sequences, martial arts, martial artists, chop socky, high kicks, karate chops	arthritis	kung-fu fighter, kungfu fighter, martial artist	agile, athletic, balletic, limber, deadly	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in madcap comedies	laugh_at	star, star in, portray, amuse, entertain	madcap comedies, slapstick, jokes, comedy, laughter, goofiness, humour, humor, madcap humour, madcap humor	seriousness, solemnity, 	comedian, comedienne, clown, funny guy, funny man, funny bone, 	madcap, zany, slapstick, hilarious, funny, comical, goofy	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in musical comedies	laugh_at	star, star in, portray, amuse, entertain, sing, sing in, sing for	musical comedies, musicals, comedies, funny songs, funny lyrics, 	seriousness, solemnity, 	comedian, comedienne, clown, funny guy, funny man, funny bone, 	funny, entertaining, comedic, comic, comical, musical	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in pornographic movies	dislike, despise, condescend_to	sleep with, screw, fornicate, suck	smut, trash, pornography, filth, porn, full frontal, sex tapes, money shots, nudity	fluffers, censorship, impotence, good taste, modesty	porn star, pornographic actor, pornstar	pornographic, explicit, raunchy, lewd	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in reality TV shows	dislike, condescend_to, tune_out	star in, star, appear in	reality, reality TV, reality television, the real world, real life, cinema verite, present reality	scripting, scripts, theatre, theater	reality TV star, reality star	over-exposed, overexposed, 	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in romantic comedies	respect	star in, star, portray	romance, romcoms, romantic comedies, sentimentality, true romance, Hollywood endings, true love, happy endings	seriousness, solemnity, 	comedian, comedienne, clown, funny guy, funny man, funny bone, 	funny, entertaining, comedic, comic, comical, sentimental, romantic	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in science fiction movies	respect	star in, star, portray	science fiction, blue screen, special effects, motion capture, sci-fi, futurism, CGI, computer graphics, space operas, rayguns, ray guns	present reality	scifi star, science fiction star		perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in sit-coms	laugh_at	star, star in, portray, amuse, entertain	sitcoms, situation comedy, recurring situations, tropes, cliches, stereotypes, canned laughter, cliché	seriousness, solemnity, 	sit-com star, sitcom star, sit-com actor, sitcom actor 	funny, entertaining, comedic, comic, comical, scripted	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in TV shows	tune_out	star, star in, portray, entertain	television, TV, recurring roles, guest stars, TV stars, TV shows, television shows		TV star, TV actor, television star, television actor, familiar face	familiar, well-known, wellknown	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starring in war movies	admire, respect, remember	star in, star, portray	war movies, war films, explosions, war scenes, battle scenes, fake blood, 		movie star, film actor, tough guy, man's man	tough, grizzled	perform_with		upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
starting thunderstorms	admire, respect,	intigate, spark, shoot fire, blast, summon fire, summon thunder, summon lightning	thunderstorms, thunder, lightning, thunderbolts	clear skies	thundergod, thunder god, stormbringer, storm bringer, stormbreaker, storm breaker	thunderous, loud, 	pray_to, sacrifice_to	are_energized_by	
